group,regimen,covariate,phenotype,MIC_mg_L,target,n,attained_n,PTA,PTA_lower_95,PTA_upper_95
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,64,100% fT>4xMIC,10000,130,0.013,0.0109594401953071,0.0154145742177319
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,0.25,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,0.5,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,1,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,2,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,4,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,8,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,16,100% fT>MIC,10000,10000,1,0.999616001629323,1
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,32,100% fT>MIC,10000,9971,0.9971,0.995838225453434,0.997980003366439
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,64,100% fT>MIC,10000,9250,0.925,0.919672837003621,0.930000764381304
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,128,100% fT>MIC,10000,4360,0.436,0.426307202829019,0.445741948962427
fac4_max_QDS,Intermittent short infusion (QDS),Factor 4,High,256,100% fT>MIC,10000,130,0.013,0.0109594401953071,0.0154145742177319
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,0.25,100% fT>4xMIC,10000,9894,0.9894,0.987196493387657,0.991227649007125
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,0.5,100% fT>4xMIC,10000,9629,0.9629,0.959014229297069,0.966430265011358
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,1,100% fT>4xMIC,10000,8714,0.8714,0.864695982210946,0.877818783799315
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,2,100% fT>4xMIC,10000,6612,0.6612,0.651863130043594,0.670413068881699
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,4,100% fT>4xMIC,10000,3496,0.3496,0.340313406211638,0.359002100498261
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,8,100% fT>4xMIC,10000,792,0.0792,0.0740672406983827,0.0846559323303787
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,16,100% fT>4xMIC,10000,35,0.0035,0.00251777850562249,0.00486353187645937
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,32,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,64,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,128,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,256,100% fT>4xMIC,10000,0,0,0,0.000383998370676596
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,0.25,100% fT>MIC,10000,9995,0.9995,0.998829974053858,0.999786411573836
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,0.5,100% fT>MIC,10000,9978,0.9978,0.996671040799947,0.998546650422207
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,1,100% fT>MIC,10000,9894,0.9894,0.987196493387657,0.991227649007125
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,2,100% fT>MIC,10000,9629,0.9629,0.959014229297069,0.966430265011358
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,4,100% fT>MIC,10000,8714,0.8714,0.864695982210946,0.877818783799315
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,8,100% fT>MIC,10000,6612,0.6612,0.651863130043594,0.670413068881699
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,16,100% fT>MIC,10000,3496,0.3496,0.340313406211638,0.359002100498261
fac4_min_QDS,Intermittent short infusion (QDS),Factor 4,Low,32,100% fT>MIC,10000,792,0.0792,0.0740672406983827,0.0846559323303787
